video_id,title,description,publishedAt,viewCount,likeCount,commentCount,name,song,date,lyrics,score,viewRank,likeRank,commentRank,viewRankAll,likeRankAll,commentRankAll
2NArH91kHoQ,ATEEZ(에이티즈) - 'INCEPTION' Official MV,"Release Date: 2020. 7. 29. 6PM (KST)

▶ Listen on Spotify: https://open.spotify.com/album/01IFxHiVOY6uf3vUFVXEoI
▶ Listen on iTunes: https://apple.co/31bJumn

▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official V LIVE: 
http://channels.vlive.tv/C057DB
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶ ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_
▶ ATEEZ Official Fancafe:
http://cafe.daum.net/ATEEZ

▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent

#ATEEZ #에이티즈 #FEVER_Part_1",2020-07-29 09:00:00,77174012,1436234,292765,ATEEZ,INCEPTION,2020-07-29,i m in love i m in love eye meets in that short instant the moment all the senses stop little tremors spread inside me for the first time i am swallowed by the feeling that i became who i am i feel like dreaming a dream i ve never seen even in dreams it s too vivid to conclude it as just a dream i draw and draw it s clear to the ends of the shadow line i long only for the day i see you again i can t go back to the way it was you didn t know me after i bumped into you i become craving for you more uncontrollably as if i have dreamed in a dream i am lost looking for you you are the dream i live in the dream i can never awake from every day night i m gon chase you i m in love i m dream in a dream every night i m in love i m dream in a dream every night hey finding traces you ve left i m wandering for you you a dream nobody say woah nothing can fill you nights with dreams are all fading too the scent permeates and lingers i m lost looking for you save me say woah nobody say woah,0.9894,2.0,1.0,1.0,3.0,5.0,2.0
yW7wZX3DUaY,ATEEZ(에이티즈) - 'Answer' Official MV,"Release Date: 2020. 1. 6. 6PM (KST)

▶ Listen on iTunes: https://music.apple.com/kr/album/treasure-epilogue-action-to-answer-ep/1493365097
▶ Listen on Spotify: https://open.spotify.com/album/3TTkDOcSzRQCvGMT7VmmPE

▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official V LIVE: 
http://channels.vlive.tv/C057DB
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶ ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_
▶ ATEEZ Official Fancafe:
http://cafe.daum.net/ATEEZ

▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent

#ATEEZ #에이티즈 #Answer #KQ",2020-01-06 09:00:00,82105631,1371567,144568,ATEEZ,Answer,2020-01-06,let s make a toast like a thunder fill in everything as much as it overflows raise your glasses over your heads as high as they can be seen anywhere i got the answer eh open your hand and look up say oh raise glasses and face each other say oh shouting out that the end means the beginning remember we were together from the tip of the toe say my name burn burn burn it up more keep going make a fire everyday s a finale show as like tomorrow is the end of the world maintain this fever oxygen fire because you and i make the bluish light the burning sun and the huge wave are nothing for us come in as we don t care we re not afraid anymore no one can touch it like a burning flame let s make a toast like a thunder fill in everything as much as it overflows raise your glasses over your heads as high as they can be seen anywhere call call call us right now burn like a flame call call call us right now as loud as you can be heard anywhere burn like a flame the desert with nothing with nothing we started there hot hot remember that time round round gather together young and free we hiss at the world brighten ourselves in the dark with no answer,0.9712,1.0,2.0,3.0,2.0,6.0,7.0
Z_BhMhZpAug,ATEEZ(에이티즈) - 'WONDERLAND' Official MV,"Release Date : 2019. 10. 8

▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official V LIVE: 
http://channels.vlive.tv/C057DB
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶ ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_
▶ ATEEZ Official Fancafe:
http://cafe.daum.net/ATEEZ

▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent

#ATEEZ #에이티즈 #WONDERLAND",2019-10-08 09:00:05,117073479,2021447,215431,ATEEZ,WONDERLAND,2019-10-08,all eyes on me now if you still doubt mine it s too pointless we re still young and wild we gonna find new world to be mine the island where the map calls is everyone s dream and fear dream starts in the end wings spread forever child like peter hey heart that beats strongly pump it up loose fist close it tight the door of truth is opening in front of us like destroying it we on fire are you going to stop here what you ve longed for is right in front of you oh although we can t come back oh we must going on let s go let s go to the beginning where the end awaits on my my way everyone keeps pace on my my way run after counting one two on my my way make our own path hurry up hurry up to the beginning where the end awaits yeah ready now for next journey hold your breath i run and get money i got a win shout louder tambourine beating louder than the acre higher than jack sparrow i go and go without wavering without hesitation bang bang breaths like down with us get it going,0.8335,1.0,1.0,1.0,1.0,1.0,5.0
7wcM9Eq3UbI,ATEEZ(에이티즈) - ‘AURORA’ Official MV (Performance ver.),"▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official V LIVE: 
http://channels.vlive.tv/C057DB
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶ ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_
▶ ATEEZ Official Fancafe:
http://cafe.daum.net/ATEEZ

▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent

#ATEEZ #에이티즈 #AURORA",2019-07-08 09:09:08,8920659,393868,24302,ATEEZ,AURORA,2019-07-08,various colors spread out in front of me the ambiguous boundary between lines i m still looking for the words to describe this without them i just keep on repeating the same words but we don t care cause i m not alone right now you re here to share this view so now i don t really need many metaphors every time i saw the sunset i was afraid every night now i m not afraid any more because you re in the dark fully embrace in the arms of light dancing together you re another night to me in your eyes in my eyes remember this forever in our eyes it s going to become the brightest darkness wrap around me my aurora wrap around me my aurora oh woah oh ooh ooh hey wrap around me my aurora yeah the swaying tide our heart it s all fascinating i m fascinated by you the stars illuminate me this light has become a huge light for me ooh yeah my sky is more wonderful the colors are shimmering ooh yeah when i close my eyes it reacts more in the darkness it s shining and glittering,0.9933,6.0,6.0,6.0,18.0,18.0,19.0
i_HzsHss94E,ATEEZ(에이티즈) - 'ILLUSION' Official MV,"Release Date: 2019. 06. 10

▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official V LIVE: 
http://channels.vlive.tv/C057DB
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶ ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_
▶ ATEEZ Official Fancafe:
http://cafe.daum.net/ATEEZ

▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent

#ATEEZ #에이티즈 #ILLUSION",2019-06-10 09:00:14,25246324,636674,29102,ATEEZ,ILLUSION,2019-06-10,the bluish sun the purple star flowers are dancing the song is a bonus it s talking to me from somewhere we party all day it s like a lie an unbelievable sight i closed and opened my eyes i blinked several times now i m like columbus is this feeling right frogs and turtles that speak informally red forsythias and sunflowers what s that hoo oo oo oo oo oo oo oo oo oo it s like i m dreaming please don t wake me up oh oh hoo oo oo oo oo oo oo oo oo oo one day two days three days four days i don t know what day it is today where am i now who are you i ve never felt this before right now i don t know much about this paradise first let s party all night long the bluish sun the purple star flowers are dancing the song is a bonus it s talking to me from somewhere all night come on party all night long oh yeah yeah oh ah do you want to follow me oh ah do you want to follow me do you oh ah until the sun rises right all night come on party all night long oh yeah yeah,0.9908,5.0,5.0,5.0,15.0,16.0,18.0
FIInyEWWW-s,ATEEZ(에이티즈) - 'WAVE' Official MV,"Release Date: 2019. 06. 10

▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official V LIVE: 
http://channels.vlive.tv/C057DB
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶ ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_
▶ ATEEZ Official Fancafe:
http://cafe.daum.net/ATEEZ

▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent

#ATEEZ #에이티즈 #WAVE",2019-06-10 09:00:06,70721531,1453942,73939,ATEEZ,WAVE,2019-06-10,right now we re at an ocean blue somewhere above the waves still together though we don t know where we re going cheers cheers under the hot sun right now go away go away throw away all hesitation throw away all hesitation think think think we ve already overcome so much remember remember remember time keeps passing across the sea when we are headed toward the hot sun even if we want to stop just brush back your hair and shout hakuna matata yah it s coming even more hakuna matata it s coming even more but we ll jump over the rough waves looking for the mystery island follow us across the lower reach of the mississippi river where we go don t be care bout that we re fishy fishy like the more we travel together the more the waves come we carry on now let s take a trip to the sea throw it all away drink enjoy this moment i know y all feelin me go into the waves mindlessly click are you ready to find it the light under the sun,0.9325,2.0,2.0,3.0,4.0,4.0,11.0
QbjmVyP9RFg,"ATEEZ(에이티즈) - ‘HALA HALA (Hearts Awakened, Live Alive)’ Official MV (Performance ver.)","▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official V LIVE: 
http://channels.vlive.tv/C057DB
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶  ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_


▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent


#ATEEZ #에이티즈 #HALA_HALA",2019-02-07 09:00:02,41610462,1021393,41692,ATEEZ,"HALA HALA (Hearts Awakened, Live Alive)",2019-02-07,shaking shaking my heart is beating this emotion i m feeling for the first time is creating a new side of me rewinding on film our starting point is still there the first step comes to my mind hundreds more times a day in middle of desert the feet that became many make us roll until the sandy wind reaches that end deep in my heart deep in my soul a flashing light that has rekindled deep down my heart deep down my soul fire like an undying flame yeah a little hotter so that you can t stop hold up i think it s gonna burst let s go hurry up now surprise a round of applause everyone a real life suicide squad frightening let s get burning now uh uh hala hala surprise a round of applause everyone a real life suicide squad frightening let s get burning now uh uh hala hala raise me up take me up a little more every day raise me up take me up to that place far away burst it up boomin boom right from the start pop pop the exploding spark i feel like that best boppin pop i change like the gods just changing words around that s right values transform i m like an assassin in this god covered scene deep in my heart deep in my soul a flashing light that has rekindled deep down my heart deep down my soul fire like an undying flame yeah a little hotter so that you can t stop hold up i think it s gonna burst let s go hurry up now,0.9831,4.0,4.0,4.0,10.0,10.0,15.0
nKU4OVH18mE,ATEEZ(에이티즈) - 'Say My Name' Official MV,"Release Date: 2019. 1. 15

▶ Listen on iTunes: https://goo.gl/b9owgZ
▶ Listen on Spotify: https://goo.gl/7xEc8s

▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official V LIVE: 
http://channels.vlive.tv/C057DB
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶  ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_


▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent

#ATEEZ #에이티즈 #Say_My_Name",2019-01-15 09:05:30,66682883,1324892,74959,ATEEZ,Say My Name,2019-01-15,coming to ya ya i won t give up up everybody say yeah ateez present say my name a little louder it makes me wake up from sleep woah oh say my name louder one more time when you call my name i head to that far away place fly high don t try to stop me give it up yeah running again towards the flame in that dark moon everyone here to that high place if we re together no down down down put your hands up scream it louder for a bursting start when the moonlight calls on us looking like it will cover the world take our hands and fly away yes sir responding to that call say my name say my name say my name say my name say my name say my name call on me c c call on me hold onto my hands look at my eyes my name is my name is a to the z my name is my name is call on me c c call on me hold onto my hands look at my eyes fix on ooh yeah the beginning of the road we made is prosperous the dream of being on top and the bottom can be changed with one difference uh evermore better than better put your head up getter go getter also take that gold treasure come to me call on me call on me call me my name my name will appear in the search box i put on the name tag i ve always wanted around me is filled with people bring your close friends too ooh yeah cover up and watch me the name with exactly four letters is here leave it noticeable zoom in here cause i m the captain,0.9761,3.0,3.0,2.0,5.0,7.0,10.0
tLV83ndOwz4,ATEEZ(에이티즈) - 'Treasure' Official MV,"RELEASE DATE: 2018. 10. 24

▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official Youtube:
http://youtube.com/ATEEZofficial
▶ ATEEZ Official V LIVE: 
http://channels.vlive.tv/C057DB
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶  ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_


▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent


#ATEEZ #에이티즈 #Treasure",2018-10-24 09:00:37,24643404,689711,37891,ATEEZ,Treasure,2018-10-24,the shining treasure over there it s beckoning to you that treasure everyone s chasing after pleasure going more and more blind crazy taking a step up i m desperate give me some more higher and higher i want you more tell me some more i want you to ready don t waste it no more don t waste it no more no more waste it over first do with me something dig up the ground go where your feet go anyway this earth is one put your success on this canvas pop pop pop flash pop pop on my lyrics so sweet you re melting after two years we ll dominate the mass comm we ll take all the spotlight why do your thoughts keep stopping match it with your footsteps to that place yeah yeah yeah yeah to a place no one can find my treasure let s leave to a far place it calls to us that treasure hurry let s leave let s go find it oh every day every night whoa oh oh oh we would be savage ay ay we re savage ay ay engraving it on the earth whoa oh oh oh we would be savage no one can stop us if you try no way one more step a little more as if you ll reach no no no no one more step a little more looking for that place we re about to reach,0.5235,2.0,2.0,2.0,16.0,13.0,17.0
RqJ1rH9M5G0,ATEEZ(에이티즈) - '해적왕(Pirate King)' Official MV (Performance ver.),"RELEASE DATE: 2018. 10. 24

▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official Youtube:
http://youtube.com/ATEEZofficial
▶ ATEEZ Official V LIVE: 
http://channels.vlive.tv/C057DB
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶  ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_


▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent


#ATEEZ #에이티즈 #해적왕",2018-10-24 09:00:02,43480687,1123687,40422,ATEEZ,해적왕(Pirate King),2018-10-24,beam me up beam me up we dance like turbulence every day ready set get ready set rolling our feet so hot twisting this place up get it i feel like somebody you get it till we reach space we sail i see future face zoom we raised the anchor gotta pass yeah endlessly going i m ready come to me til the end raise the anchor put away your dark hearts wherever it is we can go we can be whatever we want just follow us raise your hands up high you and me under these burning lights to the bright place step 1 2 3 and 1 2 3 let s go will you be my friend um oeo um oeo um oeo um oeo we ll arrive somewhere on the horizon over there if you wanna get on a boat with me right now you you need a pirate king no need to be cautious just be my companion yes with you come sit here be ready the gun shot goes bang time we gon get it taking our time we gon get it time we gon get it taking our time we gon get it at one go back at two head we re always one with the ocean i got it you re head i m back back back a race who s with me wherever it is,0.9741,1.0,1.0,1.0,9.0,9.0,16.0
